id,title,description,level,timeMin,mood,items,reasons,sauce,steps
r1,돼지고기김치찌개,"돼지고기김치찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i1"", ""baseQuantity"": 180}, {""ingredientId"": ""i220"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 돼지고기를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""돼지고기, 김치, 두부 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""돼지고기김치찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 돼지고기는 키친타월로 물기를 닦고 먹기 좋은 크기로 손질해요; 김치는 조리하기 좋게 손질해요; 두부는 조리하기 좋게 손질해요; 양파는 한입 크기로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r2,참치김치찌개,"참치김치찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i987"", ""baseQuantity"": 150}, {""ingredientId"": ""i220"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 참치통조림를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""참치통조림, 김치, 두부 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""참치김치찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 참치통조림는 조리하기 좋게 손질해요; 김치는 조리하기 좋게 손질해요; 두부는 조리하기 좋게 손질해요; 양파는 한입 크기로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r3,스팸김치찌개,"스팸김치찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i34"", ""baseQuantity"": 180}, {""ingredientId"": ""i220"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 스팸를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""스팸, 김치, 두부 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""스팸김치찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 스팸는 키친타월로 물기를 닦고 먹기 좋은 크기로 손질해요; 김치는 조리하기 좋게 손질해요; 두부는 조리하기 좋게 손질해요; 양파는 한입 크기로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r4,꽁치김치찌개,"꽁치김치찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i989"", ""baseQuantity"": 150}, {""ingredientId"": ""i220"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i155"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 꽁치통조림를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""꽁치통조림, 김치, 무 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""꽁치김치찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 꽁치통조림는 조리하기 좋게 손질해요; 김치는 조리하기 좋게 손질해요; 무는 한입 크기로 썰어요; 대파는 먹기 좋은 길이로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r5,차돌된장찌개,"차돌된장찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i12"", ""baseQuantity"": 180}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i121"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 차돌박이를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""차돌박이, 두부, 애호박 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""차돌된장찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 차돌박이는 키친타월로 물기를 닦고 먹기 좋은 크기로 손질해요; 두부는 조리하기 좋게 손질해요; 애호박는 한입 크기로 썰어요; 양파는 한입 크기로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r6,바지락된장찌개,"바지락된장찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i566"", ""baseQuantity"": 160}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i121"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 바지락를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""바지락, 두부, 애호박 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""바지락된장찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 바지락는 흐르는 물에 가볍게 씻은 뒤 물기를 충분히 빼요; 두부는 조리하기 좋게 손질해요; 애호박는 한입 크기로 썰어요; 양파는 한입 크기로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r7,버섯된장찌개,"버섯된장찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i213"", ""baseQuantity"": 1}, {""ingredientId"": ""i211"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i121"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 표고버섯를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""표고버섯, 느타리버섯, 두부 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""버섯된장찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 표고버섯는 조리하기 좋게 손질해요; 느타리버섯는 조리하기 좋게 손질해요; 두부는 조리하기 좋게 손질해요; 애호박는 한입 크기로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r8,냉이된장찌개,"냉이된장찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i170"", ""baseQuantity"": 1}, {""ingredientId"": ""i956"", ""baseQuantity"": 1}, {""ingredientId"": ""i118"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 냉이를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""냉이, 두부, 감자 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""냉이된장찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 냉이는 조리하기 좋게 손질해요; 두부는 조리하기 좋게 손질해요; 감자는 한입 크기로 썰어요; 대파는 먹기 좋은 길이로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r9,해물순두부찌개,"해물순두부찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i957"", ""baseQuantity"": 1}, {""ingredientId"": ""i517"", ""baseQuantity"": 1}, {""ingredientId"": ""i566"", ""baseQuantity"": 80}, {""ingredientId"": ""i511"", ""baseQuantity"": 80}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 순두부를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""순두부, 오징어, 바지락 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""해물순두부찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 순두부는 조리하기 좋게 손질해요; 오징어는 흐르는 물에 가볍게 씻은 뒤 물기를 충분히 빼요; 바지락는 흐르는 물에 가볍게 씻은 뒤 물기를 충분히 빼요; 새우는 흐르는 물에 가볍게 씻은 뒤 물기를 충분히 빼요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
r10,소고기순두부찌개,"소고기순두부찌개은(는) 재료를 한데 넣고 충분히 끓여 깊은 맛을 내는 찌개·스튜 계열 요리예요. 재료 손질, 불 조절, 양념 타이밍을 순서대로 따라 하면 집에서도 안정적으로 만들 수 있도록 설명을 자세히 넣었어요.",보통,35,든든한 집밥,"[{""ingredientId"": ""i957"", ""baseQuantity"": 1}, {""ingredientId"": ""i2"", ""baseQuantity"": 80}, {""ingredientId"": ""i111"", ""baseQuantity"": 0.5}, {""ingredientId"": ""i112"", ""baseQuantity"": 1}]","[""냉장고에 있는 순두부를 중심으로 활용할 수 있어 재료 소진에 도움이 돼요."", ""순두부, 소고기, 양파 조합은 실제 가정식과 외식 메뉴에서 자주 쓰이는 안정적인 조합이에요."", ""소고기순두부찌개는 조리 흐름이 분명하고 재현성이 높아 추천·학습용 데이터로 쓰기 좋아요.""]","[""간장 1큰술, 다진 마늘 1작은술, 소금 약간을 먼저 섞어 기본 간을 준비해요."", ""매콤한 스타일이면 고춧가루나 고추장을 소량씩 추가하고, 국물 요리는 마지막에 간을 다시 봐요."", ""완성 직전에 참기름 몇 방울과 후추를 더하면 향이 훨씬 또렷해져요.""]","[""먼저 순두부는 조리하기 좋게 손질해요; 소고기는 키친타월로 물기를 닦고 먹기 좋은 크기로 손질해요; 양파는 한입 크기로 썰어요; 대파는 먹기 좋은 길이로 썰어요. 재료 크기를 비슷하게 맞추면 익는 속도가 고르게 맞고 완성도가 좋아져요."", ""냄비를 중불로 달군 뒤 향을 내는 재료를 먼저 넣고 1~2분 볶아 밑맛을 만들어요."", ""물이나 육수 500~700ml를 붓고 센 불에서 끓이다가 끓어오르면 중불로 줄여요."", ""단단한 재료를 먼저 익히고, 부서지기 쉬운 재료는 뒤쪽에 넣어 식감을 살려요."", ""국물 맛을 본 뒤 필요한 양념을 조금씩 더해 간을 맞추고, 거품은 중간에 걷어내요."", ""재료 맛이 자연스럽게 어우러지도록 5~10분 더 끓인 뒤 마지막에 향채를 넣어 마무리해요."", ""불을 끄기 직전에 간을 한 번 더 확인하고 뜨거울 때 바로 담아내요.""]"
